date,location,total_cases,new_cases,total_deaths,population,cases_per_million,MA7,death_rate
2020-07-27,United States,4234020.0,55993.0,146935.0,331002647.0,12791.498915112905,65822.85714285714,0.03470342605845036
2020-07-28,United States,4290263.0,56243.0,148011.0,331002647.0,12961.41598529271,65750.42857142857,0.034499283610352094
2020-07-29,United States,4351997.0,61734.0,149256.0,331002647.0,13147.922046677772,64277.0,0.03429597952388294
2020-07-30,United States,4426982.0,74985.0,150713.0,331002647.0,13374.461020548877,65153.71428571428,0.03404418631022218
2020-07-31,United States,4495014.0,68032.0,152070.0,331002647.0,13579.994120107445,65844.57142857143,0.03383081787954387
2020-08-01,United States,4562037.0,67023.0,153314.0,331002647.0,13782.478905674734,64215.42857142857,0.03360647886021091
2020-08-02,United States,4620444.0,58407.0,154447.0,331002647.0,13958.933687923045,63202.42857142857,0.033426874127248374
2020-08-03,United States,4667955.0,47511.0,154860.0,331002647.0,14102.470304414212,61990.71428571428,0.03317512700957914
2020-08-04,United States,4713562.0,45607.0,155403.0,331002647.0,14240.254701044732,60471.28571428572,0.0329693340195801
2020-08-05,United States,4771087.0,57525.0,156806.0,331002647.0,14414.044852034069,59870.0,0.032865885698583994
2020-08-06,United States,4823891.0,52804.0,158256.0,331002647.0,14573.572277202968,56701.28571428572,0.03280671142859571
2020-08-07,United States,4883646.0,59755.0,160104.0,331002647.0,14754.099534436655,55518.857142857145,0.032783702995671675
2020-08-08,United States,4941796.0,58150.0,161356.0,331002647.0,14929.777887848733,54251.28571428572,0.032651287102907524
2020-08-09,United States,4998017.0,56221.0,162425.0,331002647.0,15099.628493303258,53939.0,0.0324978886626436
2020-08-10,United States,5044864.0,46847.0,162938.0,331002647.0,15241.159083540502,53844.142857142855,0.03229779831527668
2020-08-11,United States,5094394.0,49530.0,163461.0,331002647.0,15390.7953491381,54404.57142857143,0.032086446395783286
2020-08-12,United States,5141207.0,46813.0,164537.0,331002647.0,15532.223221163546,52874.28571428572,0.032003574257951486
2020-08-13,United States,5197148.0,55941.0,166027.0,331002647.0,15701.22791193268,53322.42857142857,0.03194579026804702
2020-08-14,United States,5248242.0,51094.0,167110.0,331002647.0,15855.589215272952,52085.142857142855,0.031841138423113875
2020-08-15,United States,5313080.0,64838.0,168446.0,331002647.0,16051.47284517033,53040.57142857143,0.031704021019822774
2020-08-16,United States,5361165.0,48085.0,169481.0,331002647.0,16196.743586766544,51878.28571428572,0.03161271850428032
2020-08-17,United States,5403269.0,42104.0,170052.0,331002647.0,16323.944986458067,51200.71428571428,0.03147205885918321
2020-08-18,United States,5438325.0,35056.0,170497.0,331002647.0,16429.853505068797,49133.0,0.03135101340945971
2020-08-19,United States,5482416.0,44091.0,171821.0,331002647.0,16563.057877902713,48744.142857142855,0.03134037986172519
2020-08-20,United States,5529842.0,47426.0,173177.0,331002647.0,16706.337698864383,47527.71428571428,0.03131680796666523
2020-08-21,United States,5573847.0,44005.0,174255.0,331002647.0,16839.282255044927,46515.0,0.03126296792861376
2020-08-22,United States,5623727.0,49880.0,175406.0,331002647.0,16989.975913999264,44378.142857142855,0.031190347611112702
2020-08-23,United States,5668105.0,44378.0,176362.0,331002647.0,17124.0473493857,43848.57142857143,0.03111480821191562
2020-08-24,United States,5702611.0,34506.0,176806.0,331002647.0,17228.29424986441,42763.142857142855,0.031004394302890377
2020-08-25,United States,5740909.0,38298.0,177279.0,331002647.0,17343.997252082398,43226.28571428572,0.030879952983055473
2020-08-26,United States,5779028.0,38119.0,178486.0,331002647.0,17459.159473126507,42373.142857142855,0.030885124626494283
2020-08-27,United States,5821876.0,42848.0,179714.0,331002647.0,17588.60858898207,41719.142857142855,0.030868744026839458
2020-08-28,United States,5867785.0,45909.0,180824.0,331002647.0,17727.30536502326,41991.142857142855,0.030816398351337003
2020-08-29,United States,5917439.0,49654.0,181773.0,331002647.0,17877.31624998153,41958.857142857145,0.030718187378019443
